Source,Target,Type,Id,Label,timeset,Weight,partition
12,87996,Undirected,18,,,1,1
14,102695,Undirected,20,,,1,1
14,102217,Undirected,19,,,1,1
17,110018,Undirected,21,,,1,1
21,26428,Undirected,23,,,1,1
70561,37,Undirected,65436,,,1,1
38,99187,Undirected,33,,,1,1
38,87384,Undirected,32,,,1,1
38,7140,Undirected,31,,,1,1
45,73229,Undirected,50,,,1,1
45,56065,Undirected,49,,,1,1
45,23165,Undirected,48,,,1,1
47,48,Undirected,51,,,1,1
61,65992,Undirected,62,,,1,2
61,9271,Undirected,61,,,1,2
107226,62,Undirected,87243,,,1,1
66,97841,Undirected,70,,,1,1
66,97837,Undirected,69,,,1,1
66,97551,Undirected,68,,,1,1
66,94214,Undirected,67,,,1,1
66,59098,Undirected,66,,,1,1
66,50721,Undirected,65,,,1,1
112054,66,Undirected,89637,,,1,1
97548,66,Undirected,83133,,,1,1
95293,66,Undirected,81212,,,1,1
65294,66,Undirected,62346,,,1,1
70,14480,Undirected,72,,,1,2
70,11700,Undirected,71,,,1,2
90955,72,Undirected,78665,,,1,1
76682,72,Undirected,69056,,,1,1
80,106230,Undirected,86,,,1,1
80,69457,Undirected,84,,,1,1
80,59582,Undirected,82,,,1,1
80,45115,Undirected,81,,,1,1
80,3386,Undirected,77,,,1,1
82,72368,Undirected,90,,,1,1
102,27847,Undirected,95,,,1,1
112,104939,Undirected,98,,,1,1
112,41929,Undirected,97,,,1,1
112,9371,Undirected,96,,,1,1
114,58104,Undirected,101,,,1,1
114,24951,Undirected,100,,,1,1
114,20038,Undirected,99,,,1,1
61876,121,Undirected,59986,,,1,1
122,86943,Undirected,113,,,1,1
122,5412,Undirected,106,,,1,1
128,12458,Undirected,127,,,1,1
142,107888,Undirected,137,,,1,2
142,107888,Undirected,136,,,1,1
142,105142,Undirected,135,,,1,1
142,827,Undirected,134,,,1,1
143,100302,Undirected,138,,,1,1
152,52587,Undirected,140,,,1,1
164,110600,Undirected,247,,,1,1
164,80575,Undirected,246,,,1,1
164,22428,Undirected,245,,,1,1
164,422,Undirected,244,,,1,1
164,175,Undirected,243,,,1,1
175,110600,Undirected,262,,,1,1
175,80575,Undirected,261,,,1,1
175,22428,Undirected,260,,,1,1
175,422,Undirected,259,,,1,1
200,100850,Undirected,278,,,1,1
223,77780,Undirected,293,,,1,1
23313,226,Undirected,25207,,,1,1
236,5533,Undirected,300,,,1,1
244,52836,Undirected,308,,,1,1
244,46373,Undirected,307,,,1,1
244,39746,Undirected,306,,,1,1
244,703,Undirected,305,,,1,1
249,30888,Undirected,312,,,1,1
249,10980,Undirected,311,,,1,1
277,77617,Undirected,329,,,1,1
63967,293,Undirected,61568,,,1,2
299,103589,Undirected,348,,,1,1
310,97558,Undirected,440,,,1,2
325,65627,Undirected,448,,,1,1
327,110106,Undirected,465,,,1,1
327,75900,Undirected,456,,,1,1
327,58644,Undirected,455,,,1,1
327,57166,Undirected,454,,,1,1
327,49999,Undirected,453,,,1,1
327,41963,Undirected,452,,,1,1
327,34739,Undirected,451,,,1,1
327,3730,Undirected,449,,,1,1
328,96086,Undirected,467,,,1,1
328,75413,Undirected,466,,,1,1
96630,328,Undirected,82214,,,1,1
332,46617,Undirected,488,,,1,1
340,61403,Undirected,500,,,1,1
340,58417,Undirected,499,,,1,1
23692,340,Undirected,25575,,,1,1
344,72503,Undirected,501,,,1,1
81094,354,Undirected,71442,,,1,1
357,60793,Undirected,506,,,1,1
357,53840,Undirected,505,,,1,1
357,38352,Undirected,504,,,1,1
370,57057,Undirected,512,,,1,2
371,56141,Undirected,513,,,1,1
372,371,Undirected,514,,,1,1
372,56141,Undirected,515,,,1,1
48737,377,Undirected,48917,,,1,1
385,54604,Undirected,520,,,1,1
