Id,Label,timeset,partition
2,2,,Vicenza
12,12,,Padova
13,13,,Padova
14,14,,Padova
15,15,,Vicenza
16,16,,Vicenza
17,17,,Padova
21,21,,Padova
29,29,,Vicenza
32,32,,Padova
35,35,,Padova
37,37,,Padova
38,38,,Vicenza
45,45,,Vicenza
47,47,,Vicenza
48,48,,Vicenza
60,60,,Padova
61,61,,Vicenza
62,62,,Padova
66,66,,Padova
70,70,,Padova
72,72,,Padova
74,74,,Vicenza
78,78,,Vicenza
80,80,,Padova
82,82,,Vicenza
83,83,,Vicenza
87,87,,Vicenza
97,97,,Vicenza
98,98,,Padova
102,102,,Padova
103,103,,Padova
104,104,,Padova
107,107,,Padova
112,112,,Vicenza
114,114,,Vicenza
116,116,,Vicenza
117,117,,Vicenza
121,121,,Vicenza
122,122,,Padova
126,126,,Padova
128,128,,Padova
133,133,,Padova
136,136,,Vicenza
138,138,,Padova
142,142,,Vicenza
143,143,,Padova
144,144,,Vicenza
146,146,,Vicenza
148,148,,Padova
149,149,,Padova
150,150,,Vicenza
152,152,,Padova
163,163,,Vicenza
164,164,,Padova
167,167,,Padova
171,171,,Padova
173,173,,Padova
175,175,,Padova
178,178,,Padova
181,181,,Padova
187,187,,Padova
190,190,,Vicenza
199,199,,Vicenza
200,200,,Padova
202,202,,Padova
214,214,,Padova
218,218,,Padova
223,223,,Vicenza
224,224,,Vicenza
226,226,,Padova
236,236,,Padova
238,238,,Padova
241,241,,Padova
244,244,,Padova
249,249,,Padova
251,251,,Padova
254,254,,Vicenza
265,265,,Padova
269,269,,Vicenza
274,274,,Vicenza
277,277,,Vicenza
283,283,,Vicenza
287,287,,Padova
290,290,,Vicenza
292,292,,Vicenza
293,293,,Padova
299,299,,Vicenza
300,300,,Padova
301,301,,Padova
303,303,,Vicenza
304,304,,Vicenza
308,308,,Padova
310,310,,Padova
311,311,,Padova
312,312,,Padova
313,313,,Padova
317,317,,Padova
318,318,,Vicenza
325,325,,Vicenza
327,327,,Vicenza
328,328,,Padova
332,332,,Padova
337,337,,Padova
338,338,,Padova
340,340,,Vicenza
344,344,,Padova
346,346,,Vicenza
348,348,,Vicenza
350,350,,Vicenza
351,351,,Vicenza
354,354,,Vicenza
357,357,,Vicenza
358,358,,Padova
359,359,,Padova
363,363,,Vicenza
370,370,,Padova
371,371,,Padova
372,372,,Padova
377,377,,Vicenza
383,383,,Padova
384,384,,Vicenza
385,385,,Padova
392,392,,Padova
394,394,,Padova
396,396,,Padova
397,397,,Vicenza
404,404,,Padova
414,414,,Vicenza
415,415,,Vicenza
417,417,,Padova
418,418,,Padova
419,419,,Padova
421,421,,Padova
422,422,,Padova
429,429,,Padova
432,432,,Padova
433,433,,Padova
436,436,,Vicenza
437,437,,Vicenza
439,439,,Padova
441,441,,Padova
444,444,,Padova
445,445,,Vicenza
447,447,,Padova
448,448,,Padova
453,453,,Vicenza
462,462,,Padova
464,464,,Padova
467,467,,Padova
468,468,,Padova
471,471,,Padova
476,476,,Vicenza
478,478,,Padova
481,481,,Padova
486,486,,Padova
487,487,,Vicenza
490,490,,Padova
492,492,,Padova
496,496,,Vicenza
498,498,,Padova
500,500,,Padova
502,502,,Padova
503,503,,Padova
504,504,,Padova
506,506,,Padova
512,512,,Padova
517,517,,Vicenza
519,519,,Vicenza
521,521,,Vicenza
